Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
CN102205112A,"BMP composition for synergistic induction of ossification differentiation, and application thereof",05/10/2011,TONGCHUAN HE  ZHONGLIANG DENG  QUAN KANG  JINYONG LUO  LIANG CHEN  BAICHENG HE  XIAOJI LUO,China,en,CN,UNIV CHONGQING MEDICAL,44694354,bmp composition synergistic induction ossification differentiation application thereof
CN1150322C  CN1306090A,Low-virulent vaccine K genom sequence of tomato mosaic,2001-08-01  2004-05-19,QIU BINGSHENG [CN]  YANG GONG [CN]  TIAN BO [CN],China,en,CN,CHINESE ACAD INST MICROBIOLOGY [CN]  INST OF MICROBIOLOGY CHINSES A [CN],4575316,lowvirulent vaccine k genom sequence tomato mosaic
EP0252060A1,"DNA sequence, recombinant DNA molecules, and method for the production of the Newcastle disease virus fusion protein or equivalent polypeptides, products obtained and preparations containing them.",07/01/1988,ESPION DANIELE [BE]  BURNY ARSENE [BE]  DEBOUCK CHRISTINE [US],European Patent Office (EPO),en,EP,SMITH KLINE RIT [BE],25376110,dna sequence recombinant dna molecules method production newcastle disease virus fusion protein equivalent polypeptides products obtained preparations containing
EP3159404A1  EP3159404A4  EP3159404B1,"METHOD FOR PROMOTING VIRUS INFECTION AND INCREASING VIRUS PRODUCTION, BY USING CELL LINE HAVING LOST BST2 GENE FUNCTIONS",2017-04-26  2018-01-17  2019-07-17,PARK SE-HO [KR]  YI EUNBI [KR],European Patent Office (EPO),de,EP,IMMUNOMAX CO LTD [KR],54935711,method promoting virus infection increasing virus production using cell line lost bst gene functions
CN104371004A,Turbot reddish body iridovirus genetic engineering vaccine,25/02/2015,ZHENG FENGRONG  WANG BO  TAN XIAOPING  WU SUQI,China,en,CN,FIRST INST OF OCEANOGRAPHY,52550227,turbot reddish body iridovirus genetic engineering vaccine
CN109402145A  CN109402145B,Preparation method of immune-enhanced recombinant PRRSV virus-like particle subunit vaccine,2019-03-01  2019-10-25,CHEN RUI  DU ENQI  DONG JIANHUI,China,en,CN,SHAANXI INNOLEVER BIOLOGICAL TECH CO LTD,65472103,preparation method immuneenhanced recombinant prrsv viruslike particle subunit vaccine
CN100341579C  CN1814295A,Method for preparing gene therapeutic tissue engineering stent,2006-08-09  2007-10-10,CHENG XIANGRONG ZHANG [CN],China,en,CN,UNIV WUHAN [CN],36906725,method preparing gene therapeutic tissue engineering stent
CN116675751A  CN116675751B,Application of SWEET1g protein and coding gene thereof in potato virus resistance,2023-09-01  2024-01-26,LI XIANGDONG  GENG CHAO  FANG LE  LIU LINGZHI  YAN ZHIYONG  TIAN YANPING,China,en,CN,UNIV SHANDONG AGRICULTURAL,87790412,application sweetg protein coding gene thereof potato virus resistance
CA3225820A1,ONCOLYTIC VIRUS AND USE THEREOF,19/01/2023,ZHOU GUOQING [CN]  ZHANG FAN [CN],Canada,de,CA,JOINT BIOSCIENCES SH LTD [CN],84854426,oncolytic virus use thereof
WO2020221098A1,HEPATITIS C VIRUS DETECTION KIT,05/11/2020,PAN SHAOLI [CN]  LI RUIJING [CN]  YU XIULING [CN]  CHENG ZHENZHU [CN]  WU YUNBO [CN]  CHEN YICHEN [CN]  CHI LANGSHAN [CN]  GONG HANG [CN]  OUYANG SUIYAN [CN],World Intellectual Property Organization (WIPO),de,WO,GUANGDONG FEIPENG BIOLOGICAL CO LTD [CN],67914154,hepatitis c virus detection kit
CN109239351A  CN109239351B,Lotus latent virus double-antibody sandwich enzyme-linked immunosorbent assay (ELISA) kit and preparation and detection methods,2019-01-18  2020-07-14,HE ZHEN  CHEN WEN  CHEN CHUNFENG  LIU XIAN  ZHANG KUN  LI LIANGJUN,China,en,CN,UNIV YANGZHOU,65071166,lotus latent virus doubleantibody sandwich enzymelinked immunosorbent assay elisa kit preparation detection methods
WO9535024A1,PLANT VIRUS RESISTANCE GENE AND METHODS,28/12/1995,BAKER BARBARA J  WHITHAM STEVEN A,World Intellectual Property Organization (WIPO),de,WO,US AGRICULTURE [US]  UNIV CALIFORNIA [US],22994295,plant virus resistance gene methods
CN1287858C  CN1408349A,Foot-and-mouth disease gene engineering polypeptide vaccine and its preparing method,2003-04-09  2006-12-06,ZHENG ZHAOXIN [CN]  YAN WEIYAO [CN]  LI GUANGJIN [CN]  ZHENG ZHAOXIN YAN [CN],China,en,CN,UNIV FUDAN [CN],4748849,footandmouth disease gene engineering polypeptide vaccine preparing method
EP0488528A1  EP0488528B1,Recombinant adeno-associated virus vectors.,1992-06-03  1995-11-29,LEBKOWSKI JANE [US]  MCNALLY MAUREEN [US]  OKARMA THOMAS [US],European Patent Office (EPO),en,EP,APPLIED IMMUNESCIENCES [US],24425162,recombinant adenoassociated virus vectors
WO0074733A1,PROCESS FOR REMOVING VIRUSES FROM BIOLOGICAL SAMPLES,14/12/2000,JOSIC DJURO [AT]  BIESERT LOTHAR [DE]  KLENGEL ROLF WILLI KARL [DE]  BUCHACHER ANDREA [AT]  SCHWINN HORST [DE],World Intellectual Property Organization (WIPO),de,WO,OCTAPHARMA AG [CH]  JOSIC DJURO [AT]  BIESERT LOTHAR [DE]  KLENGEL ROLF WILLI KARL [DE]  BUCHACHER ANDREA [AT]  SCHWINN HORST [DE],26053687,process removing viruses biological samples
CN103588874A  CN103588874B,"Human anti-HBV surface antigen genetic engineering antibody, and preparation method and application thereof",2014-02-19  2015-06-17,LIANG MIFANG  BI SHENGLI  SUN LINA  GUO YU  LIU YANG  ZHANG FUSHUN  LI CHUAN  LI DEXIN,China,en,CN,INST VIRAL DISEASE CONTROL & PREVENTION CHINESE CT DISEASE CONTROL & PREVENTION  INST VIRAL DISEASE CONTROL & PREVENTION CHINESE CT,50079223,human antihbv surface antigen genetic engineering antibody preparation method application thereof
CN114805500A  CN114805500B,Application of African swine fever virus I73R protein as immunosuppressor and construction of immunosuppressive site mutant strain,2022-07-29  2023-06-13,ZHENG HAIXUE  WANG YUE  YANG WENPING  WANG YANYI  RAN YONG  FENG TAO  LI DAN  ZHANG JING  RU YI  TIAN HONG  HAO RONGZENG  YANG YANG  QIN XIAODONG  LIU XIANGTAO,China,en,CN,LANZHOU VETERINARY RES INST CAAS,82528016,application african swine fever virus ir protein immunosuppressor construction immunosuppressive site mutant strain
CA2645934A1  CA2645934C,METHODS FOR STEPWISE DEPOSITION OF SILK FIBROIN COATINGS,2007-02-08  2014-04-29,KAPLAN DAVID L [US]  WANG XIANYAN [US],Canada,de,CA,TUFTS COLLEGE [US],37603233,methods stepwise deposition silk fibroin coatings
EP1312678A1  EP1312678B1,"Recombinant MVA virus, and the use thereof",2003-05-21  2005-09-07,SUTTER GERD [DE]  OHLMANN MARION [DE]  ERFLE VOLKER [DE],European Patent Office (EPO),en,EP,GSF FORSCHUNGSZENTRUM UMWELT [DE],8097499,recombinant mva virus use thereof
EP3431099A1  EP3431099B1,ATTENUATED VIRUSES USEFUL FOR VACCINES,2019-01-23  2024-01-03,WIMMER ECKARD [US]  SKIENA STEVE [US]  MUELLER STEFFEN [US]  FUTCHER BRUCE [US]  PAPAMICHAIL DIMITRIS [US]  COLEMAN JOHN ROBERT [US]  CELLO JERONIMO [US],European Patent Office (EPO),de,EP,UNIV NEW YORK STATE RES FOUND [US],39808891,attenuated viruses useful vaccines
US2021077554A1,Methods of Neoplasm Treatment Utilizing Complementary Oncolytic Viruses and CAR T-Cells,18/03/2021,AALIPOUR AMIN [US]  GAMBHIR SANJIV S [US],United States of America,en,US,UNIV LELAND STANFORD JUNIOR [US],74869207,methods neoplasm treatment utilizing complementary oncolytic viruses car tcells
CA2332651A1,CONSTRUCTION AND CHARACTERIZATION OF MONOCLONAL ANTIBODIES AGAINST WESTERN EQUINE ENCEPHALITIS VIRUS,14/08/2002,NAGATA LESLIE P [CA],Canada,en,CA,CANADA NATURAL RESOURCES [CA],4168192,construction characterization monoclonal antibodies western equine encephalitis virus
CN101363857A  CN101363857B,"Test paper strip for detecting morbilli and rubella virus IgM antibody colloidal gold, method for making same and applications",2009-02-11  2012-05-02,MING LIU [CN]  MING LIU,China,en,CN,BEIJING ZHUANGDI HAOHE BIOMEDI [CN]  BEIJING ZHUANGDI HAOHE BIOMEDICINE SCIENCE AND TECHNOLOGY CO LTD,40390338,test paper strip detecting morbilli rubella virus igm antibody colloidal gold method making applications
CN103897044A,Site-specific mutated hepatitis E virus structural protein as well as preparation method and application thereof,02/07/2014,MENG JIHONG  XU MINGJIE,China,en,CN,UNIV SOUTHEAST,50988655,sitespecific mutated hepatitis e virus structural protein well preparation method application thereof
CN111848785A  CN111848785B,"Feline herpes virus antibody sequence, tetrapeptide chain molecule and immunoglobulin molecule",2020-10-30  2022-09-06,QU XUETING  YIN YANBO,China,en,CN,QINGDAO BOLONG GENE ENG CO LTD,72982921,feline herpes virus antibody sequence tetrapeptide chain molecule immunoglobulin molecule
CN111729078A  CN111729078B,Chicken infectious anemia virus genetic engineering vaccine,2020-10-02  2020-11-20,CAO WENLONG  KONG DI  TENG XIAONUO,China,en,CN,SUZHOU SHINUO BIOTECHNOLOGY CO LTD,72657514,chicken infectious anemia virus genetic engineering vaccine
CN106554944A  CN106554944B,"Porcine epidemic diarrhea virus attenuated strain, vaccine composition prepared therefrom, and application",2017-04-05  2020-04-14,TIAN KEGONG  LYU CHAOCHAO  SUN JINZHONG  ZHANG XUKE,China,en,CN,PU-LIKE BIO-ENGINEERING CO LTD,58415226,porcine epidemic diarrhea virus attenuated strain vaccine composition prepared therefrom application
CN1536085A,Construction of human hepatocyte growth factor gene recomginant retroviral vector,13/10/2004,PEI XUETAO [CN]  WANG YUNFANG [CN]  NAN XUE [CN],China,en,CN,INST OF FIELD BLOOD TRANSFUSIO [CN],34319259,construction human hepatocyte growth factor gene recomginant retroviral vector
US2014044745A1  US8796008B2,Influenza A Virus Vaccines and Inhibitors,2014-02-13  2014-08-05,MONTELIONE GAETANO [US]  DAS KALYAN [US]  ARNOLD EDWARD [US]  MA LI-CHUNG [US]  XIAO RONG [US]  KRUG ROBERT M [US]  TWU KAREN Y [US]  KUO REI-LIN [US]  KUO REI-LIN [TW],United States of America,en,US,UNIV RUTGERS [US]  UNIV TEXAS [US],39360136,influenza virus vaccines inhibitors
EP0375767A1  EP0375767B1,PEPTIDES WITH PROTECTIVE PROPERTIES WITH REGARD TO A PATHOGENIC VIRUS OF THE HIV TYPE IN SENSITIVE CELLS.,1990-07-04  1995-12-20,CLAVERIE JEAN-MICHEL [FR]  BOUGELERET LYDIE [FR]  KOURILSKY PHILIPPE [FR]  LANGLADE-DEMOYEN PIERRE [FR]  CHALUFOUR-PROCHNICKA ADA [FR]  DADAGLIO GILLES [FR]  TEKAIA FREDJ [FR]  PLATA FERNANDO [FR]  CLAVERIE JEAN-MICHEL  BOUGELERET LYDIE  KOURILSKY PHILIPPE  LANGLADE-DEMOYEN PIERRE  CHALUFOUR-PROCHNICKA ADA  DADAGLIO GILLES  TEKAIA FREDJ  PLATA FERNANDO,European Patent Office (EPO),en,EP,PASTEUR INSTITUT [FR]  INST NAT SANTE RECH MED [FR],9366976,peptides protective properties regard pathogenic virus hiv type sensitive cells
CN103007273A  CN103007273B,Foot-and-mouth disease genetic engineering mixed epitope vaccine and preparation method thereof,2013-04-03  2015-07-29,LU ZENGJUN  LIU ZAIXIN  CAO YIMEI  SUN PU  LI DONG  BAO HUIFANG  LI PINGHUA  FU YUANFANG  CHEN BAIXINGWEN  YING LI  XIE BAOXIA,China,en,CN,LANZHOU VETERINARY RES INST CAAS,47956736,footandmouth disease genetic engineering mixed epitope vaccine preparation method thereof
CN104045710A  CN104045710B,Humanized neutralizing antibody D5 against avian influenza virus (AIV) H7N9 as well as preparation method and application thereof,2014-09-17  2017-05-24,CHEN ZHE  JIN QI,China,en,CN,INST PATHOGEN BIOLOGY CAMS,51499148,humanized neutralizing antibody avian influenza virus aiv hn well preparation method application thereof
EP3150665A1  EP3150665A4  EP3150665B1,METHOD FOR PREPARING MAGNETIC MICROSPHERES FOR THE CAPTURE OF PROTEINS AND THEIR USE IN QUANTITATIVE CHEMILUMINESCENCE IMMUNOASSAYS,2017-04-05  2017-11-01  2019-03-06,RAO WEI [CN]  DU KAI [CN]  ZHAO LI [CN],European Patent Office (EPO),en,EP,SHENZHEN NEW IND BIOMEDICAL ENG CO LTD [CN]  SHENZHEN NEW IND BIOMEDICAL ENGINEERING CO LTD [CN],54697889,method preparing magnetic microspheres capture proteins use quantitative chemiluminescence immunoassays
JP2005511051A  JP4480398B2,No title available,2005-04-28  2010-06-16,,Japan,et,JP,,26077595,title available
CN113801866A  CN113801866B,"Efficient-expression recombinant TEV enzyme with high activity and stability as well as preparation method, determination method and application of recombinant TEV enzyme",2021-12-17  2022-08-16,WANG FENG  HUANG YALIANG  XU XIA  OUYANG YING  MIAO QIWEI,China,en,CN,BIORTUS BIOSCIENCES CO LTD,78894579,efficientexpression recombinant tev enzyme high activity stability well preparation method determination method application recombinant tev enzyme
CN113121681A  CN113121681B,Anti-inflammatory and anti-porcine epidemic diarrhea virus egg yolk antibody and application thereof,2021-07-16  2021-09-10,LI WEIFEN  ZHAO PENGWEI  HUANG YAOWEI  LIU JINLONG  MEI XIAOQIANG  ZHOU YUANHAO  ZENG ZHONGHUA  LI XIAODONG,China,en,CN,SHANDONG BESTCARE BIOTECHNOLOGY CO LTD,76782984,antiinflammatory antiporcine epidemic diarrhea virus egg yolk antibody application thereof
EP0256092A1  EP0256092A4  EP0256092B1,"ATTENUATED HERPESVIRUSES, HERPESVIRUSES WHICH INCLUDE FOREIGN DNA ENCODING AN AMINO ACID SEQUENCE AND VACCINE CONTAINING SAME.",1988-02-24  1990-03-08  1998-04-08,COCHRAN MARK D [US]  SHIH MENG-FU [US]  MACCONNEL WILLIAM P [US]  MACDONALD RICHARD D [US]  COCHRAN MARK D  SHIH MENG-FU  MACCONNEL WILLIAM P  MACDONALD RICHARD D,European Patent Office (EPO),de,EP,SYNTRO CORP [US],27505863,attenuated herpesviruses herpesviruses include foreign dna encoding amino acid sequence vaccine containing
US2023118974A1,TECHNOLOGIES FOR GENETIC ENGINEERING DETECTION,20/04/2023,TABBAA OMAR P [US]  BARTLING CRAIG M [US]  FOWLE BRETT R [US]  FULLERTON PATRICK [US]  GEMLER BRYAN [US]  HOWLAND CARRIE [US]  HUK DANIELLE J [US]  SHANK ZACHARY R [US],United States of America,de,US,BATTELLE MEMORIAL INSTITUTE [US],85982923,technologies genetic engineering detection
CN102895677A  CN102895677B,Novel multivalent carrier vaccine for shrimp and application thereof,2013-01-30  2014-03-12,,China,en,CN,WUXI HAIJIAN BIO TECHNOLOGY CO LTD,47568357,novel multivalent carrier vaccine shrimp application thereof
CN114774373A,Carrier pigeon Newcastle disease virus genetic engineering modified attenuated strain as well as preparation method and application thereof,22/07/2022,YANG ZHIYUAN  SUN YE  LIN JIAN  CHENG SHUISHENG  LIU YUEHUAN  GAO JIE  DUAN HUIJUAN  PAN YU  WANG NAN  ZHAO JICHENG  HUANG CHENG  LIU LIXIN  CHENG HUIMIN  PAN JIE,China,en,CN,BEIJING ACAD AGRIC & FORESTRY  BEIJING ZHONGHAI BIOTECH CO LTD,82433123,carrier pigeon newcastle disease virus genetic engineering modified attenuated strain well preparation method application thereof
CN104353070A  CN104353070B,Genetic engineering subunit vaccine of chicken infectious bronchitis virus and preparation method thereof,2015-02-18  2017-04-19,CAO YONGCHANG  YIN LIJUAN  XUE CHUNYI,China,en,CN,UNIV SUN YAT SEN,52520442,genetic engineering subunit vaccine chicken infectious bronchitis virus preparation method thereof
CN108101967A  CN108101967B,Group I fowl adenovirus serotype 4 genetic engineering subunit vaccine as well as preparation method and application thereof,2018-06-01  2021-03-02,MEI MEI  TANG YINGHUA  LU JIHU  ZHANG XUEHUA  HOU JIBO,China,en,CN,JIANGSU ACAD AGRICULTURAL SCI,62213789,group fowl adenovirus serotype genetic engineering subunit vaccine well preparation method application thereof
CN1157479C  CN1412314A,Virus expression veclor of tomato flower-leaf virus low virulent strain K,2003-04-23  2004-07-14,QIU BINGSHENG [CN]  LI YONG [CN]  LIU GUANGCHAO [CN],China,en,CN,CHINESE ACAD INST MICROBIOLOGY [CN],4673452,virus expression veclor tomato flowerleaf virus low virulent strain k
CN115975899A,Genetically engineered bacterium capable of efficiently secreting and expressing key antigen P72 of African swine fever virus as well as construction method and application of genetically engineered bacterium,18/04/2023,LUO CHUPING  ZHANG LUYANG  TIAN BAOXIA  ZHU TAO  LUO KECHENG  CHEN YUEWEN  ZHOU MENGTING  ZHANG SHUANGYU  WANG XIAOHUA  ZHENG HANCHI  ZHU XIAOWEN,China,en,CN,HUAIYIN INST TECHNOLOGY,85973787,genetically engineered bacterium capable efficiently secreting expressing key antigen p african swine fever virus well construction method application genetically engineered bacterium
CN110179755A,Preparation method of liposome type subunit vaccine,30/08/2019,LIU BAOQUAN  LI LIN  WANG JIANFENG  LI GUIXING  LI CHUNBIN  XU YONGBIN  QUAN CHUNSHAN,China,en,CN,UNIV DALIAN MINZU,67724530,preparation method liposome type subunit vaccine
CN107267548A,Construction method of ASGV (apple stem grooving virus) infectious cloning vector,20/10/2017,ZHAO LEI  HAO XINGAN  WU YUNFENG  SUN LIYING,China,en,CN,UNIV NORTHWEST A&F,60052916,construction method asgv apple stem grooving virus infectious cloning vector
CN1410533A,Large brill rhabdo virus toxic strain and its preparation method and application,16/04/2003,ZHANG QIYA [CN]  LI ZHENGQIU [CN]  GUI JIANFANG [CN],China,en,CN,INST OF HYDROBIOLOGY CAS [CN],4750001,large brill rhabdo virus toxic strain preparation method application
CN114836391A,Recombinant T4 phage and application thereof in preparation of influenza virus intranasal delivery VLP vaccine,02/08/2022,TAO PAN  GUO PENGJU  LI MENGLING,China,en,CN,UNIV HUAZHONG AGRICULTURAL,82572807,recombinant phage application thereof preparation influenza virus intranasal delivery vlp vaccine
CN111378689A  CN111378689B,"Pseudotype insect baculovirus gene transfer system for prawns, virus, construction method and application",2020-07-07  2021-12-28,GUO HUARONG  WU MENGQIAN,China,en,CN,OCEAN UNIV CHINA,71215403,pseudotype insect baculovirus gene transfer system prawns virus construction method application
CN110237248A,Preparation method of herpes zoster vaccine,17/09/2019,LIU BAOQUAN  LI LIN  LI GUIXING  LI CHUNBIN  WANG JIANFENG  QUAN CHUNSHAN,China,en,CN,UNIV DALIAN MINZU,67890527,preparation method herpes zoster vaccine
EP1901071A1  EP1901071A4  EP1901071B1,METHODS FOR SCREENING AN ANTI-HEPATITIS C VIRUS CANDIDATE,2008-03-19  2008-10-22  2010-03-10,MATSUMORI AKIRA [JP],European Patent Office (EPO),de,EP,MATSUMORI AKIRA [JP],37481713,methods screening antihepatitis c virus candidate
CN1355253A,Humanized genetically engineered neutralizing antibody of rabies virus,26/06/2002,LIANG MIFANG [CN]  HOU YUNDE [CN]  ZHANG SHIZHEN [CN],China,en,CN,INST OF VIROLOGY CHINESE ACADE [CN],4595244,humanized genetically engineered neutralizing antibody rabies virus
CA3119389A1,"RECOMBINANT NUCLEIC ACID OF SENECA VALLEY VIRUS, RECOMBINANT VACCINE STRAIN AND PREPARATION METHOD AND USE THEREOF",24/09/2021,ZHENG HAIXUE [CN]  YANG FAN [CN]  ZHU ZIXIANG [CN]  CAO WEIJUN [CN]  TIAN HONG [CN]  ZHANG KESHAN [CN]  WEI TING [CN]  ZHENG MIN [CN]  ZHANG WEI [CN]  DANG WEN [CN]  MA XUSHENG [CN]  LI DAN [CN]  RU YI [CN]  HE JIJUN [CN]  GUO JIANHONG [CN]  LIU XIANGTAO [CN],Canada,de,CA,LANZHOU VETERINARY RES INSTITUTE CHINESE ACADEMY OF AGRICULTURAL SCIENCES [CN],71432899,recombinant nucleic acid seneca valley virus recombinant vaccine strain preparation method use thereof
CN113881670A,Construction method of transgenic plant capable of resisting soybean mosaic virus,04/01/2022,XU KAI  ZHANG WANG,China,en,CN,UNIV NANJING,79007424,construction method transgenic plant capable resisting soybean mosaic virus
CA2317109A1,THE PROCESS FOR EXPRESSION AND PRODUCTION OF RECOMBINANT PROTEIN GP90 DERIVED FROM GLICOPROTEIN ENVELOP OF EQUINE INFECTIOUS ANEMIA VIRUS EIAV,15/07/1999,BIAS FORTES FERRAZ ISABELLA [BR]  CERQUEIRA LEITE ROMULO [BR]  PEREGRINO FERREIRA PAULO CESAR [BR]  PIMENTA DOS REIS KARLISSON JEN [BR]  GEESSIEN KROON ERNA [BR],Canada,de,CA,UNIV MINAS GERAIS [BR],4066066,process expression production recombinant protein gp derived glicoprotein envelop equine infectious anemia virus eiav
CN104974248A  CN104974248B,"Riemerella anatipestifer OmpA/MotB signal peptide-removal recombinant protein, antibody and preparation method and application thereof",2015-10-14  2019-04-09,CHENG ANCHUN  WANG MINGSHU  LI QINGZHU  YANG QIAO,China,en,CN,UNIV SICHUAN AGRICULTURAL,54271252,riemerella anatipestifer ompamotb signal peptideremoval recombinant protein antibody preparation method application thereof
CN1407085A,Modular automatic production line for biopharmaceutics,02/04/2003,ZHANG LILAN [CN]  ZHU XUEREN [CN]  JIN SHANLIN [CN],China,en,CN,DONGKANGLONG VIRUS BIOLOG TECH [CN],4676592,modular automatic production line biopharmaceutics
WO2022067879A1,PROTEIN CAPABLE OF BINDING TO VARIOUS VIRUSES AND USE THEREOF,07/04/2022,WANG DAPENG [CN]  LIU DANLEI [CN]  ZHANG ZILEI [CN],World Intellectual Property Organization (WIPO),de,WO,UNIV SHANGHAI JIAOTONG [CN],80949321,protein capable binding various viruses use thereof
WO2020100990A1,STRAIN DIS-DERIVED RECOMBINANT VACCINIA VIRUS HAVING NOVEL INFLUENZA VIRUS-DERIVED HEMAGGLUTININ PROTEIN GENE,22/05/2020,YASUI FUMIHIKO [JP]  KOHARA MICHINORI [JP]  YAMAJI KENZABURO [JP]  ITOH YASUSHI [JP]  OGASAWARA KAZUMASA [JP]  ISHII KOJI [JP],World Intellectual Property Organization (WIPO),de,WO,TOKYO METROPOLITAN INST MEDICAL SCIENCE [JP]  UNIV SHIGA MEDICAL SCIENCE [JP]  JAPAN AS REPRESENTED BY DIRECTOR GENERAL OF NAT INSTITUTE OF INFECTIOUS DISEASES [JP],70731871,strain disderived recombinant vaccinia virus novel influenza virusderived hemagglutinin protein gene
DE69934329T2,VERFAHREN ZUR GENETISCHEN VERÄNDERUNG EINER VIRALEN WILDTYP-SEQUENZ,21/06/2007,LAUBER E [FR]  GUILLEY HUBERT [FR]  RICHARDS KEN [FR]  JONARD GERARD [FR],Germany,de,DE,SES EUROPE NV SA [BE],8237068,verfahren zur genetischen vernderung einer viralen wildtypsequenz
CN115010815A  CN115010815B,Preparation method of serial hepatitis B core virus-like particles for pigs,2022-09-06  2023-11-24,CONG YANLONG  QIN JIAYI  SUN YIXUE  ZHANG PENGJU  DI HAIYANG  HAN JINHONG,China,en,CN,UNIV JILIN,83079666,preparation method serial hepatitis b core viruslike particles pigs
CN101748151A  CN101748151B,Recombinant human hepatitis C virus antigen adenoviral vector and applications thereof,2010-06-23  2012-10-17,JINLIN HOU  JIN LI  JUNYUN LIU  HUA QIN  YUNXIA TANG  ZHANHUI WANG  DONGYUN WU  XIANGJUN ZHOU,China,en,CN,SHENGZHEN TSINGHUA YUANXING BI  SHENGZHEN TSINGHUA YUANXING BIO PHARM SCIENCE & TECHNOLOGY CO LTD,42475764,recombinant human hepatitis c virus antigen adenoviral vector applications thereof
CN102321179A  CN102321179B,Hepatitis C virus recombination protein and gene sequence,2012-01-18  2013-03-13,DONG CHEN  XIAOJIE WU  HAIYAN ZHANG  CHEN DONG  WU XIAOJIE  ZHANG HAIYAN,China,en,CN,HANGZHOU PEILE BIOLOG TECHNOLOGY CO LTD,45449034,hepatitis c virus recombination protein gene sequence
WO2018232318A1,MATERIALS AND METHODS FOR INCREASING IMMUNE RESPONSES,20/12/2018,PEASE LARRY R [US],World Intellectual Property Organization (WIPO),en,WO,MAYO FOUND MEDICAL EDUCATION & RES [US],64660538,materials methods increasing immune responses
WO2018029300A1,RESISTANCE GENE TO RHIZOMANIA,15/02/2018,TOERJEK OTTÓ [DE]  BORCHARDT DIETRICH [DE]  MECHELKE WOLFGANG [DE]  LEIN JENS CHRISTOPH [DE]  HABEKOST SANDRA [DE],World Intellectual Property Organization (WIPO),en,WO,KWS SAAT SE & CO KGAA [DE],56683774,resistance gene rhizomania
CN108192922A,"Phospholamban gene anti-sense RNA recombinant AAV vector, virus, construction method and application",22/06/2018,LI JIANG  HU SHENJIANG,China,en,CN,LI JIANG,62587636,phospholamban gene antisense rna recombinant aav vector virus construction method application
CN106381302A,Method for quickly identifying chrysanthemum nankingense gene function based on TRV-VIGS technology,08/02/2017,CHEN SUMEI  WANG YINJIE  ZHANG QIANLI  CHEN FADI  JIANG JIAFU  WANG HAIBIN  SONG AIPING,China,en,CN,UNIV NANJING AGRICULTURAL,57936341,method quickly identifying chrysanthemum nankingense gene function based trvvigs technology
EP2345731A1  EP2345731B1,"Adeno-associated virus (AAV) clades, sequences, vectors containing same, and uses thereof",2011-07-20  2015-10-21,GAO GUANGPING [US]  WILSON JAMES M [US]  VANDENBERGHE LUK [US]  ALVIRA MAURICIO R [US],European Patent Office (EPO),en,EP,UNIV PENNSYLVANIA [US],34426044,adenoassociated virus aav clades sequences vectors containing uses thereof
CN1778812A,Nolvac viral coat protein with recombinant rod virus expression and its preparation,31/05/2006,EAN JINGFENG JIN [CN],China,en,CN,NAT MARINE ENVIROMENT MONITORI [CN],36769276,nolvac viral coat protein recombinant rod virus expression preparation
EP3386527A1  EP3386527A4  EP3386527B1,"COMPOSITIONS AND METHODS FOR TREATING OR AMELIORATING NEUROINFLAMMATION, NEURODEGENERATION, NEUROPATHIC PAIN, AND MIGRAINE",2018-10-17  2019-07-03  2021-05-26,MILLER YURY [US]  YAKSH TONY L [US],European Patent Office (EPO),de,EP,UNIV CALIFORNIA [US],59013143,compositions methods treating ameliorating neuroinflammation neurodegeneration neuropathic pain migraine
CN117482220A,VP2 protein subunit vaccine of infectious bursal disease virus variant as well as preparation method and application of VP2 protein subunit vaccine,02/02/2024,ZHU JIE  NIU XIAOSAI  ZHANG FEI  GENG XINGLIANG,China,en,CN,SHANDONG BINZHOU BOLAIWEI BIOTECH CO LTD,89684579,vp protein subunit vaccine infectious bursal disease virus variant well preparation method application vp protein subunit vaccine
WO2017142831A1,DENGUE VIRUS GLYCOPROTEIN E DIII VARIANTS AND USES THEREOF,24/08/2017,LAI JONATHAN R LAI [US]  KIELIAN MARGARET C [US]  FREI JULIA C [US],World Intellectual Property Organization (WIPO),de,WO,ALBERT EINSTEIN COLLEGE MEDICINE INC [US],59626365,dengue virus glycoprotein e diii variants uses thereof
RU2005106034A  RU2294963C2,KIT OF OLIDONUCLEOTIDE PRIMERS FOR IDENTIFICATION OF CRIMEAN-CONGO HEMORRHAGIC FEVER VIRUS RNA IN FIELD AND CLINICAL SAMPLES,2006-08-10  2007-03-10,SEREGIN SERGEJ VIKTOROVICH [RU]  PETROV VLADIMIR SEMENOVICH [RU]  TUMANOVA IRINA JUR EVNA [RU]  PETROVA IRINA DMITRIEVNA [RU]  TJUNNIKOV GEORGIJ IVANOVICH [RU],Russia,en,RU,FEDERAL NOE G UCHREZHDENIE NAU [RU],37059405,kit olidonucleotide primers identification crimeancongo hemorrhagic fever virus rna field clinical samples
CN110376385A  CN110376385B,Preparation method and application of genetic engineering expressed QX type chicken infectious bronchitis virus S1 protein antigen,2019-10-25  2022-03-04,ZHANG XIAORONG  WANG YUEXIN  WU YANTAO  GUO MENGJIAO  ZHANG CHENGCHENG  CAO YONGZHONG,China,en,CN,UNIV YANGZHOU,68255797,preparation method application genetic engineering expressed qx type chicken infectious bronchitis virus protein antigen
