Numéro,Patent Number,Inventeur/org,Date de publication,country_code,country_name,description_language,Titre,Description
1109,cn105802918a b,pu-like bio-engineering co ltd,2016-07-27,cn,china,en,"['avian', 'nephropathogenic', 'infectious', 'bronchitis', 'virus', 'strain', 'well', 'vaccine', 'composition', 'preparation', 'method', 'application', 'thereof']","['...', 'virus', 'containing', 'gene', 'coding', 'sequence', 'seq', 'id', 'no.2', 'codes', 'protein', 'attenuated', 'virus', 'strain.', 'serial', 'passage', 'virus', 'strain', 'carried', '110-140th', 'generation', 'chicken', 'embryos', 'attenuated', 'virus', 'strain', 'obtained.', 'invention', 'also', 'relates', 'vaccine', 'composition', 'prepared', 'using', 'virus', 'strain', 'attenuated', '...']"
1110,cn102989010a,shandong sinder technology co ltd,2013-03-27,cn,china,en,"['porcine', 'epidemic', 'diarrhea', 'virus', 'genetic', 'engineering', 'subunit', 'oral', 'vaccine']","['invention', 'discloses', 'porcine', 'epidemic', 'diarrhea', 'virus', 'genetic', 'engineering', 'subunit', 'oral', 'vaccine', 'collected', 'china', 'center', 'for...']"
1111,cn1749397a b,jin ningyi cn,2006-03-22,cn,china,en,"['bi-recombinant', 'active', 'carrier', 'vaccine', 'co-expression', 'pig', 'gyrate', 'virus', 'foot', 'mouth', 'disease', 'virus']","['...', '-expressing', 'pig', 'gyrate', 'virus', 'foot', 'mouth', 'disease', 'virus.', 'present', 'invention', 'aims', 'providing', 'two', 'recombinant', 'chicken', 'pox...-ii', 'pig', 'gyrate', 'virus', 'structural', 'protein', 'precursor', 'p1', 'china', 'epidemic', 'strain', 'ny00', 'type-o', 'foot', 'mouth', 'disease', 'virus', 'serving', 'duplex', 'live', 'carrier', 'gene', 'engineering', 'vaccine', 'prevent', 'pcv2', 'fmdv', '...']"
1112,ru2155228c2,chiron corp us,2000-08-27,ru,russia,en,"['genome', 'sequence', 'hepatitis', 'c', 'virus', 'diagnostic', 'therapeutic', 'aims']","['...molecular', 'biology', 'genetic', 'engineering.', 'substance', 'fragments', 'artificial', 'nucleic', 'acid', 'nucleotide', 'sequence', 'involving', '18', 'nucleotides.', 'nucleotides', 'correspond', '5-ut', 'genome', 'region', 'hepatitis', 'c', 'virus.', 'sequences', 'taken', 'among', 'seq', 'id', 'nn', '34-51...', 'prophylactic', 'treatment', 'hepatitis', 'c', 'virus', 'infections', 'develop', 'antibody', 'preparations', 'passive', 'immunization', 'hepatitis', 'c', 'virus.', 'effect', 'valuable', 'properties', 'nucleic', 'acid', 'fragments.', '12', 'cl', '4', 'tbl', '21', 'dwg', '...']"
1113,cn102360008a b,sichuan agriculture university ct of experiment animals engineering technology,2012-02-22,cn,china,en,"['kit', 'based', 'duck', 'plague', 'virus', 'gg', 'segmented', 'recombinant', 'protein', 'application']","['...relating', 'field', 'biological', 'engineering', 'invention', 'especially', 'relates', 'kit', 'detecting', 'duck', 'plague', 'virus...', 'antibody', 'substrate', 'blocking', 'solution.', 'antibody', 'scavenger', 'duck', 'plague', 'virus', 'gg', 'segmented', 'recombinant', 'protein', '...']"
1114,cn1280011a,xing jun cn,2001-01-17,cn,china,en,"['double', 'expression', 'process', 'producing', 'hepatitis', 'b', 'virus', 'vaccine']","['presnt', 'invention', 'belongs', 'field', 'gene', 'engineering', 'producing', 'vaccine.', 'two', 'hbsag', 'gene', 'expressing', 'units', 'are...']"
1115,cn103981153a b,china inst veterinary drugs control,2014-08-13,cn,china,en,"['construction', 'double', 'fluorescence', 'labeled', 'deletion', 'viruses', 'pseudorabies', 'virus']","['...the', 'invention', 'relates', 'construction', 'double', 'fluorescence', 'labeled', 'deletion', 'viruses', 'pseudorabies', 'virus.', 'self-separated', 'pseudorabies', 'virus', 'sx...', 'live', 'vectors', 'lay', 'foundation', 'development', 'recombinant', 'pseudorabies', 'gene', 'engineering', 'vaccine.', '...']"
1116,ep1609865a2 a3b1,melbourne health au,2005-12-28,ep,european patent office epo,en,"['variantes', 'du', 'virus', 'de', 'lhpatite', 'b', 'hbv']","['...', 'reagents.', 'particularly', 'present', 'invention', 'directed', 'hepatitis', 'b', 'virus', 'variants', 'exhibiting', 'complete', 'partial', 'resistance', 'nucleoside...', 'modified', 'vaccines', 'directed', 'viral', 'agents', 'particular', 'hepatitis', 'b', 'virus', 'variants.', '...']"
1117,ep3517134a1 b1,univ pennsylvania us,2019-07-31,ep,european patent office epo,en,"['squences', 'de', 'virus', 'adno-associs', 'de', 'srotype', '8', '', 'vecteurs', 'les', 'contenant', 'et', 'leurs', 'utilisations']","['sequences', 'serotype', '8', 'adeno-associated', 'virus', 'vectors', 'host', 'cells', 'containing', 'sequences', 'provided.', 'also', 'described...']"
1118,cn101063143a b,beijing modern gold biotech co cn,2007-10-31,cn,china,en,"['recombined', 'cytomegalovirus', 'gp52', 'protein', 'application']","['...', 'market', 'meeting', 'need', 'huge', 'cell', 'virus', 'infected', 'clinical', 'diagnosis.']"
1119,cn100360662c a,univ yangtze cn,2008-01-09,cn,china,en,"['preparation', 'process', 'application', 'genetic', 'engineering', 'subunit', 'vaccine', 'infectious', 'bursal', 'disease']","['...', 'vp2', 'protein', 'gene', 'infectious', 'bursal', 'disease', 'virus', 'onto', 'expression', 'plasmid', 'pet-28a', 'construct', 'prokaryotic', 'expression', 'plasmid', 'then...']"
1120,cn115975950a,plant protection res inst guangdong academy agricultural sciences,2023-04-18,cn,china,en,"['tianyang', 'tomato', 'leaf', 'curl', 'virus', 'infectious', 'clone', 'construction', 'method', 'thereof']","['...the', 'invention', 'belongs', 'technical', 'field', 'biological', 'genetic', 'engineering', 'particularly', 'relates', 'tianyang', 'tomato', 'leaf', 'curl...', 'leaf', 'curl', 'virus', 'virus', 'infectious', 'clone', 'recombinant', 'bacterium', 'containing', 'same.', 'recombinant', 'bacterium', 'tianyang', 'tomato', 'leaf', 'curl', 'virus', 'infectious', 'clone', 'provided', 'invention', 'relatively', 'strong', 'virus', 'infectivity', 'pathogenicity', 'method', '...']"
1121,cn105535993a,zhejiang provincial peoples hospital,2016-05-04,cn,china,en,"['use', 'recombinant', 'oncolytic', 'vaccinia', 'virus', 'treatment', 'gastric', 'cancer']","['...the', 'invention', 'belongs', 'genetic', 'engineering', 'oncology', 'relates', 'use', 'recombinant', 'oncolytic', 'vaccinia', 'virus', 'carrying', 'microrna...', 'virus', 'therapy', 'malignant', 'tumors', 'effectively', 'combined', 'oncolytic', 'vaccinia', 'virus', 'capable', 'highly', 'expressing', 'mirna-101...', 'enhancing', 'safety', 'oncolytic', 'vaccinia', 'virus', 'vector', '3', 'virus', 'replication', 'relevant', 'gene', 'deletion', 'method', 'adopted', '...']"
1122,cn117286120a,univ beijing,2023-12-26,cn,china,en,"['recombinant', 'pseudorabies', 'virus', 'well', 'construction', 'method', 'application', 'thereof']","['...the', 'invention', 'discloses', 'recombinant', 'pseudorabies', 'virus', 'well', 'construction', 'method', 'application', 'thereof', 'belongs', 'technical', 'field', 'gene', 'engineering.', 'method', 'comprises', 'following', 'steps', 'constructing', 'pseudorabies', 'virus', 'us2', 'gene', 'deleted', 'attenuated', 'strain...', 'virus', 'obvious', 'difference.', 'therefore', 'us2', 'gene', 'deletion', 'mutation', 'significantly', 'reduce', 'immunosuppression', 'caused', 'pseudorabies', 'virus', 'important', 'potential', 'application', 'value.', '...']"
1123,us5733760a,virus res inst,1998-03-31,us,united states of america,en,"['salmonella', 'vectors', 'encoding', 'truncated', 'pag', 'fusion', 'protein', 'method', 'making', 'uses', 'thereof']","['modified', 'salmonella', 'wherein', 'wild', 'type', 'pag', 'gene', 'pagc', 'replaced', 'gene', 'encoding', 'truncated', 'pag', 'gene', 'pagc', 'gene', 'fused', 'heterologous', 'dna', 'segment', 'disclosed.', 'modification', 'significantly', 'attenuates', 'virulence', 'salmonella.', 'addition', 'immune', 'reaction', 'portion', 'fusion', 'protein', 'encoded', 'heterologous', 'gene', 'generated.', 'uses', 'vector', 'including', 'use', 'drug', 'screen', 'also', 'disclosed.']"
1124,cn106795500a b,ospedale san raffaele srl,2017-05-31,cn,china,en,"['vector', 'production']","['enveloped', 'viral', 'particle', 'producer', 'packaging', 'cell', 'wherein', 'cell', 'genetically', 'engineered', 'decrease', 'expression', 'mhc-i', 'surface', 'cell.']"
1125,ep1636352a1 b1,microbix biosystems inc ca,2006-03-22,ep,european patent office epo,fr,"['perfectionnements', 'dans', 'la', 'production', 'de', 'virus']","['aucun', 'abrg', 'disponible']"
1126,cn106518988a,yantai nuodi biological eng co ltd,2017-03-22,cn,china,en,"['bovine', 'respiratory', 'syncytial', 'cell', 'virus', 'antigen', 'protein']","['...the', 'invention', 'discloses', 'bovine', 'respiratory', 'syncytial', 'cell', 'virus', 'antigen', 'protein.', 'compared', 'seq', '048055.1', 'amino', 'acid', 'sequence', 'bovine', 'respiratory', 'syncytial', 'cell', 'virus', 'antigen', 'protein', 'provided', 'least', 'two', 'loci', 'substituted', 'cysteines', 'substitutive...', 'determined', 'genetic', 'engineering', 'modification', 'conducted', 'key', 'virus', 'protein', 'according', 'structural', 'change', 'result', '...']"
1127,cn102321169a,univ changchun technology,2012-01-18,cn,china,en,"['canine', 'recombinant', 'interferon', 'alpha', 'preparation', 'method']","['...', 'cell-vsv', 'vesicular', 'stomatitis', 'virus', 'virus', 'system', 'specific', 'activity', 'reaches', '2-3107', 'iumg.']"
1128,cn102068695a b,yebio bioeng co ltd qingdao,2011-05-25,cn,china,en,"['method', 'producing', 'quadruple', 'inactivated', 'vaccine', 'newcastle', 'disease', 'infectious', 'bronchitis', 'avian', 'influenza', 'h9', 'subtype', 'infectious', 'bursal', 'disease']","['...', 'subtype', 'infectious', 'bursal', 'disease.', 'method', 'inactivated', 'vaccine', 'prepared', 'adopting', 'newcastle', 'disease', 'virus', 'la', 'sota', 'strain', 'infectious', 'bronchitis', 'virus', 'm41', 'strain', 'avian', 'influenza', 'virus', 'h9', 'subtype', 'ybf003', 'strain', 'escherichia', 'coli', 'genetic', 'engineering', 'bacteria', 'e.', 'coil', 'bl21pet28a-vp2', 'strain', 'expresses', 'infectious', 'bursal', 'disease', 'virus', 'vp2', 'protein', 'serving', '...']"
1129,cn104928260a b,he hongbin,2015-09-23,cn,china,en,"['infectious', 'bovine', 'rhinotracheitis', 'virus', 'ibrv-jn03', 'isolate', 'application', 'thereof']","['...the', 'invention', 'discloses', 'infectious', 'bovine', 'rhinotracheitis', 'virus', 'ibrv-jn03', 'isolate', 'application', 'thereof.', 'preservation', 'number', 'infectious', 'bovine', 'rhinotracheitis', 'virus', 'cgmcc', 'no.10396', 'infectious', 'bovine', 'rhinotracheitis', 'virus', 'preserved', 'china', 'general', 'microbiological...', 'vaccine', 'candidate', 'virus', 'strain.', 'therefore', 'infectious', 'bovine', 'rhinotracheitis', 'diagnostic', 'reagent', 'inactivated', 'vaccine', 'attenuated', 'vaccine', 'genetic', 'engineering', 'vaccine', 'prepared', '...']"
1130,cn108642068a b,veterinary institute xinjinag academy of animal sciences clinic medical science res center xinjiang,2018-10-12,cn,china,en,"['whole', 'genome', 'sequence', 'foot', 'mouth', 'disease', 'virus', 'artificial', 'attenuated', 'virus', 'strain', 'b', 'primer', 'application', 'thereof']","['...', 'mouth', 'disease', 'virus', 'artificial', 'attenuated', 'virus', 'strain', 'oakesu58', 'ce39b', 'aprimer', 'application', 'thereof.', 'whole', 'genome', 'sequence', 'foot', 'mouth', 'disease', 'virus', 'artificial', 'attenuated', 'virus', 'strain', 'oakesu58', 'ce39b', 'shown', 'seq...', 'virus', 'evolution', 'virulence', 'molecular', 'epidemiology', 'like.', 'foot', 'mouth', 'disease', 'virus', 'artificial', 'attenuated', 'virus', 'strain', 'o', '...']"
1131,cn111768872a,suzhou shuimu kangqiao environment engineering tech co ltd,2020-10-13,cn,china,en,"['monitoring', 'system', 'suspected', 'virus', 'attack']","['...the', 'invention', 'relates', 'monitoring', 'system', 'suspected', 'virus', 'attack.', 'system', 'comprises', 'database', 'service', 'unit', 'information...', 'information', 'screening', 'service', 'unit.', 'according', 'monitoring', 'system', 'suspected', 'virus', 'attack', 'due', 'structural', 'arrangement', 'information', 'suspected', 'virus', 'attack', 'analyzed', 'processed', 'possibility', 'virus', 'attack', 'predicted', 'prerequisite', 'provided', 'virus', 'early-warning.', '...']"
1132,wo2024033446a1,geg tech fr,2024-02-15,wo,world intellectual property organization wipo,fr,"['systme', 'dexpression', 'transitoire', 'pour', 'arn', 'pour', 'ldition', 'de', 'gnes']","['la', 'prsente', 'invention', 'concerne', 'des', 'moyens', 'et', 'des', 'procds', 'dexpression', 'darn', 'transitoire', 'robuste', 'en', 'particulier', 'dans', 'le', 'domaine', 'de', 'ldition', 'de', 'gnes.']"
1133,cn101302537a b,univ fudan cn,2008-11-12,cn,china,en,"['site-specific', 'integration', 'retroviral', 'vector', 'system', 'preparation', 'thereof']","['...the', 'invention', 'belongs', 'gene', 'engineering', 'field', 'relates', 'site-specific', 'integration', 'slow', 'virus', 'vector', 'a...', 'envelope', 'plasmid', 'vsvg.', 'overcome', 'risk', 'insertion', 'mutation', 'caused', 'random', 'integration', 'slow', 'virus', 'vector', 'system', 'method', 'remodifies', 'prior', 'slow', 'virus', 'vector', 'system', 'obtains', 'site-specific', 'integration', 'slow', 'virus', 'vector', 'system', '...']"
1134,cn101559238a,univ northwest cn,2009-10-21,cn,china,en,"['method', 'preparing', 'biodegradable', 'blood', 'vessel', 'external', 'scaffold', 'material', 'used', 'tissue', 'engineering']","['...the', 'invention', 'discloses', 'method', 'preparing', 'biodegradable', 'blood', 'vessel', 'external', 'scaffold', 'material', 'used', 'tissue', 'engineering', 'comprising', 'the...', 'potential', 'virus', 'hazard', 'avoided', 'animal', 'collagen', 'causing', 'security', 'improved', 'vastly.', '...']"
1135,ep2714722a1 b1,merial ltd us,2014-04-09,ep,european patent office epo,fr,"['vaccins', 'genetiques', 'contre', 'les', 'virus', 'hendra', 'et', 'nipah']","['aucun', 'abrg', 'disponible']"
1136,cn110575538a b,pulike biological eng inc,2019-12-17,cn,china,en,"['avian', 'influenza', 'virus-like', 'particle', 'vaccine', 'preparation', 'method', 'application', 'thereof']","['invention', 'relates', 'avian', 'influenza', 'virus-like', 'particle', 'vaccine.', 'avian', 'influenza', 'virus-like', 'particle', 'vaccine', 'comprises', 'immune', 'dose', 'h9', 'subtype', 'avian', 'influenza', 'virus-like', 'particle', 'antigen', 'pharmaceutically', 'acceptable', 'carrier.', 'avian', 'influenza', 'virus-like', 'particle', 'antigen', 'formed', 'assembling', 'h9', 'subtype', 'avian', 'influenza', 'virus', 'ha', 'na', 'm1', 'antigen', 'proteins.', 'avian', '...']"
1137,cn102277374a b,zhejiang nuobeiwei biolog technology co ltd,2011-12-14,cn,china,en,"['preparation', 'application', 'genetic', 'engineering', 'subunit', 'vaccine', 'infectious', 'bursal', 'disease']","['...the', 'invention', 'relates', 'preparation', 'application', 'genetic', 'engineering', 'subunit', 'vaccine', 'infectious', 'bursal', 'disease.', 'inventor', 'optimizes', 'recombinant', 'expression', 'method', 'vp2', 'protein', 'infectious', 'bursal', 'disease', 'virus', 'expression', 'yield', 'of...', 'infectious', 'bursal', 'disease', 'virus', 'used', 'safely', 'efficiently', 'stably', 'obtained.', '...']"
1138,wo2005002610a1,lou shirong cn,2005-01-13,wo,world intellectual property organization wipo,fr,"['medecine', 'traditionnelle', 'chinoise', 'destinee', 'au', 'traitement', 'et', 'la', 'prevention', 'du', 'virus', 'de', 'sars']","['...', 'du', 'virus', 'de', 'sars', 'non', 'spcifique', 'et', 'inefficace.', 'la', 'mtc', 'est', 'utilise', 'dans', 'le', 'traitement', 'et', 'la', 'prvention', 'du', 'virus', 'de', 'sars', 'avec', 'un', 'effet', 'desctructeur', 'important', 'et', 'spcifique', 'sur', 'le', 'virus', 'de', 'sars', 'ainsi', 'que', 'sur', 'dautres', 'virus', '...']"
1139,cn102643858a b,univ fudan,2012-08-22,cn,china,en,"['efficiently-replicated', 'human', 'hepatitis', 'b', 'virus', 'recombinant', 'vector', 'application', 'thereof']","['...the', 'invention', 'belongs', 'field', 'medicine', 'gene', 'engineering', 'relates', 'recombinant', 'vector', 'based', 'human', 'hepatitis', 'b', 'viruses', 'virus', 'genome', 'partially', 'deleted', 'hepatitis', 'b', 'virus', 'polymerase', 'spacers', 'relative', 'wild-type...', 'virus', 'particles', 'supply', 'surface', 'protein', 'shows', 'application', 'prospects', 'human', 'hepatitis', 'b', 'virus', 'recombinant', '...']"
1140,cn102839194a b,shenzhen tongzhou electronic co ltd,2012-12-26,cn,china,en,"['recombinant', 'adeno-associated', 'virus', 'vector', 'preparation', 'method', 'application', 'thereof']","['invention', 'belongs', 'field', 'biomedicine', 'relates', 'recombinant', 'adeno-associated', 'virus', 'vector', 'preparation', 'method', 'application', 'thereof.', 'invention', 'relates', 'recombinant', 'adeno-associated', 'virus', 'vector', 'containing', 'endostatin-trail-shplk1', 'construction', 'method', 'thereof', 'anti-tumor', 'effect', 'thereof.', 'recombinant', 'adeno-associated', 'virus', 'vector', 'provided', 'invention', '...']"
1141,ep0414035a2 a3b1,american cyanamid co us,1991-02-27,ep,european patent office epo,en,"['rcepteur', 'de', 'virus', 'de', 'la', 'leucmie', 'du', 'gibbon.']","['present', 'invention', 'relates', 'gibbon', 'ape', 'leukemia', 'virus', 'galv', 'receptor', 'protein', 'methods', 'regulating', 'viral', 'entry', 'cells.']"
1142,cn111848814a b,beijing weijiexin biotechnology co ltd,2020-10-30,cn,china,en,"['recombinant', 'porcine', 'il-29', 'fusion', 'protein', 'preparation', 'method', 'application', 'thereof']","['...', 'based', 'agene', 'engineering', 'technology.', 'compared', 'natural', 'porcine', 'il-29', 'recombinant', 'porcine', 'il-29', 'fusion', 'protein', 'longer...']"
1143,wo2018176837a1,pulike biological eng inc cn,2018-10-04,wo,world intellectual property organization wipo,fr,"['composition', 'de', 'vaccin', 'son', 'procd', 'de', 'prparation', 'et', 'application', 'associe']","['...la', 'prsente', 'invention', 'concerne', 'une', 'composition', 'de', 'vaccin', 'comprenant', 'une', 'quantit', 'immunologique', 'de', 'protine', 'de', 'fibre', 'du', 'virus', 'du', 'syndrome...', 'virus', 'du', 'syndrome', 'des', 'chutes', 'de', 'ponte', 'et', 'un', 'support', 'acceptable', 'du', 'point', 'de', 'vue', 'vtrinaire.', '...']"
1144,ep0389286a2 a3b1,wistar inst us,1990-09-26,ep,european patent office epo,en,"['vaccin', 'recombinant', 'contre', 'le', 'virus', 'cytomgalo.']","['non-defective', 'adenovirus', 'recombinant', 'expression', 'system', 'expression', 'hcmv', 'major', 'envelope', 'glycoprotein', 'subunit', 'provided', 'use', 'subunit', 'vaccine', 'cytomegalovirus', 'infection.']"
1145,wo9617068a2 a3,inst pflanzengenetik  kultur de,1996-06-06,wo,world intellectual property organization wipo,fr,"['vegetaux', 'resistant', 'aux', 'agents', 'pathogenes', 'et', 'leur', 'procede', 'de', 'production']","['...', 'rgion', 'codant', 'les', 'protines', 'induites', 'par', 'virus', 'protines', 'vip', 'et', 'un', 'signal', 'de', 'polyadnylation', 'est', 'introduit', 'dans', 'le', 'patrimoine', 'hrditaire...', 'une', 'rsistance', 'leve', 'aux', 'virus.', 'les', 'protines', 'vip', 'constituent', 'une', 'nouvelle', 'catgorie', 'de', 'protines', 'pr.', 'linvention', 'concerne', 'en', 'outre', '...']"
1146,cn100412190c a,univ fudan cn,2008-08-20,cn,china,en,"['hepatitis', 'b', 'virus', 'complete-genome', 'polymerase', 'chimera', 'construction', 'process', 'application']","['present', 'invention', 'belongs', 'field', 'gene', 'engineering.', 'present', 'invention', 'complete', 'genome', 'hepatitis', 'b', 'virus', 'strain', 'substituted', 'virus', 'polymerase', 'gene', 'segment', 'areused', 'constitute', 'recombined', 'chimera', 'duplication', 'function', 'analyzed', 'cell', 'transfection', 'technology.', 'present', 'invention', 'includes', 'designing', 'different', 'primer', 'according', 'nucleotide', 'sequence', 'virus', '...']"
1147,ru2741092c1,fed gosudarstvennoe biudzhetnoe obrazovatelnoe uchrezhdenie vysshego obrazovaniia kuzbasskaia gosuda ru,2021-01-22,ru,russia,en,"['genetic', 'construct', 'producing', 'bovine', 'embryos', 'resistant', 'leukemia', 'virus']","['field', 'biology.substance', 'invention', 'relates', 'molecular', 'biology', 'particular', 'genetic', 'engineering', 'used', 'genomic', 'editing', 'production', 'bovine', 'embryos', 'resistant', 'leukemia', 'virus.effect', 'disclosed', 'genetic', 'construct', 'introducing', 'double-stranded', '...']"
1148,ru2005103702a c2,          ru,2006-07-20,ru,russia,en,"['recombinant', 'plasmide', 'dna', 'pu8hbc-pres1', 'encoding', 'protein', 'gene', 'hepatitis', 'b', 'virus', 'core', 'antigen', 'including', 'pre-s1', 'region', 'epitope', 'hepatitis', 'b', 'virus', 'surface', 'protein', 'bacterium', 'strain', 'escherichia', 'coli', 'ar', 'producer', 'hybrid', 'hbc-pres1', 'protein', '...']","['field', 'microbiological', 'medicine', 'industry', 'gene', 'protein', 'engineering.', '', 'substance', 'disclosed', 'recombinant', 'plasmide', 'dna', 'pu8hbc-pres1.', 'said', 'plasmide', 'encodes', 'chimerical', 'protein', 'gene', 'hepatitis', 'b', 'virus', 'core', 'antigen', 'bearing', 'pre-s1', 'region', '27-37', 'a.b.', 'epitope', 'hepatitis', 'b', 'virus', 'surface', 'protein.', 'also', 'disclosed', 'bacterium', 'strain', 'escherichia', 'coli', 'dh5alphafpu8hbc-pres1', 'bearing', 'plasmide', 'producing', '...']"
1149,cn106701692a b,wuhan inst of virology chinese acad of sciences,2017-05-24,cn,china,en,"['recombinant', 'adeno-associated', 'virus', 'expressing', 'hiv-1', 'human', 'immunodeficiency', 'virus-1', 'invasion', 'inhibitor', 'ecld', 'inhibit', 'hiv-1', 'infection']","['invention', 'discloses', 'recombinant', 'adeno-associated', 'virus', 'expressing', 'hiv-1', 'human', 'immunodeficiency', 'virus-1', 'invasion', 'inhibitor', 'ecld', 'inhibit', 'hiv-1', 'infection', 'relates', 'genetic', 'engineering', 'anti-virus', 'techniques.', 'ecld', 'escld', 'genes', 'invasion', 'inhibitor', 'transferred', 'eukaryotic', 'cells', 'using', 'recombinant', 'adeno-associated', 'virus', 'carrying', 'ecld', 'escld', 'genes', '...']"
1150,cn106565830a,poultry inst shandong acad of agricultural science,2017-04-19,cn,china,en,"['construction', 'newcastle', 'disease', 'virus', 'hn', 'protein', '119-site', 'amino', 'acid', 'mutant']","['...the', 'invention', 'belongs', 'field', 'protein', 'engineering', 'particular', 'relates', 'construction', 'newcastle', 'disease', 'virus', 'hn', 'protein', '119-site', 'amino', 'acid', 'mutant.', 'newcastle', 'disease', 'virus', 'hn', 'protein', 'mutant', 'characterized', 'newcastle...', 'expression', 'special', 'structure', 'protein', 'virus', 'activity', 'judge', 'whether', 'replicability', 'pathogenicity', 'virus', 'changed', 'not.', '...']"
1151,cn103740736a b,li yuexi,2014-04-23,cn,china,en,"['chemically', 'synthesized', 'gene', 'segment', 'ge', 'glycoprotein', 'e', 'extracellular', 'domain', 'hsv2', 'herpes', 'simplex', 'virus', 'well', 'expression', 'method', 'application', 'thereof']","['...', 'virus', 'well', 'expression', 'method', 'application', 'thereof', 'relating', 'fields', 'gene', 'engineering', 'technology', 'vaccines', 'and...', 'ge', 'hsv2', 'prepared', 'utilizing', 'gene', 'engineering', 'technology.', 'expressed', 'strong', 'epitope', 'segment', 'ge', '...']"
1152,cn102108421a,wuhan biotech gene engineering co ltd,2011-06-29,cn,china,en,"['fluorescence', 'quantitative', 'polymerase', 'chain', 'reaction', 'pcr', 'kit', 'quickly', 'detecting', 'coxsackie', 'virus', 'type', 'a16']","['...the', 'invention', 'discloses', 'fluorescence', 'quantitative', 'polymerase', 'chain', 'reaction', 'pcr', 'kit', 'quickly', 'detecting', 'coxsackie', 'virus', 'type', 'a16', 'relating', 'to...', 'detection', 'coxsackie', 'virus', 'type', 'a16.', 'kit', 'comprises', 'rna', 'extracting', 'liquid', 'fluorescence', 'quantitative', 'pcr', 'reaction', 'liquid', 'ca16...', 'specific', 'primer', 'pair', 'fluorescent', 'probe', 'coxsackie', 'virus', 'type', 'a16.', 'fluorescence', 'quantitative', 'pcr', 'kit', 'disclosed', '...']"
1153,cn103665157a b,shanghai inst biol sciences,2014-03-26,cn,china,en,"['anti-influenza-virus', 'broad-spectrum-neutrality', 'neutralizing', 'molecule', '1c4']","['...the', 'invention', 'relates', 'anti-influenza-virus', 'broad-spectrum-neutrality', 'neutralizing', 'molecule', '1c4', 'capable', 'neutralizing', 'multiple', 'influenza', 'virus...', 'chain', 'heavy', 'chain', 'variable', 'regions', 'antibody', 'combined', 'ha2', 'subunit', 'influenza', 'virus', 'hemagglutinin', 'ha', 'native', 'conformation', 'prevent', 'multiple', 'influenza', 'virus', 'subtypes', 'infecting', 'permissive', 'cells.', 'utilizing', 'variable', 'region', 'genes', '...']"
1154,cn104480142a,qingdao vland biotech inc,2015-04-01,cn,china,en,"['duck', 'plague', 'virus', 'gene', 'deletion', 'transfer', 'vector', 'application', 'thereof']","['...the', 'invention', 'aims', 'providing', 'duck', 'plague', 'virus', 'gene', 'deletion', 'transfer', 'vector', 'application', 'duck', 'plague', 'virus', 'gene', 'deletion', 'transfer', 'vector.', 'transfer', 'vector', 'subjected', 'homologous', 'recombination', 'duck', 'plague', 'virus', 'obtain', 'duck...', 'virus', 'gene', 'deletion', 'vaccine.', 'duck', 'plague', 'virus', 'gene', 'deletion', 'vaccine', 'influence', 'virus', 'immunogenicity', 'lowering', '...']"
1155,ep1996708a2 b1,intervet int bv nl,2008-12-03,ep,european patent office epo,fr,"['recombinant', 'mononegaviral', 'virus', 'vectors']","['aucun', 'abrg', 'disponible']"
1156,ep2471552a1 b1,medimmune vaccines inc us,2012-07-04,ep,european patent office epo,en,"['virus', 'de', 'la', 'grippe', 'rassortis']","['polypeptides', 'polynucleotides', 'methods', 'compositions', 'vaccines', 'comprising', 'influenza', 'hemagglutinin', 'neuraminidase', 'variants', 'provided.']"
1157,cn114057840a b,obio tech shanghai corp ltd,2022-02-18,cn,china,en,"['recombinant', 'adeno-associated', 'virus', 'particle', 'containing', 'variant', 'aav9', 'capsid', 'protein']","['...the', 'invention', 'relates', 'field', 'gene', 'engineering', 'particular', 'recombinant', 'adeno-associated', 'virus', 'particle', 'containing', 'a...', 'reference.', 'recombinant', 'adeno-associated', 'virus', 'particle', 'stronger', 'infection', 'ability', 'compared', 'wild', 'aav9', 'vector', 'recombinant', 'adeno-associated', 'virus', 'particle', 'advantage', 'infection', 'positive', 'rate', 'greatly', 'increased.', '...']"
1158,cn102140546a b,zhengzhou tobacco res cntc,2011-08-03,cn,china,en,"['method', 'compositely', 'detecting', 'tobacco', 'common', 'mosaic', 'virus', 'potato', 'virus', 'y', 'one', 'step', 'primers', 'thereof']","['...the', 'invention', 'relates', 'method', 'compositely', 'detecting', 'tobacco', 'common', 'mosaic', 'virus', 'potato', 'virus', 'y', 'one', 'step', 'characterized', 'comprising', 'following', 'steps', 'screening', 'comparing', 'conservative', 'domains', 'virus', 'genome', 'artificially', 'screening...', 'tmv', 'tobacco', 'mosaic', 'virus', 'pvy', 'potato', 'virus', 'y', 'composite', 'tobacco-infected', 'samples', 'integrating', 'enzymes', 'buffer', 'solution', 'required', '...']"
